Features,Importance
Glucose,0.3645852939521449
Resistin,0.2232063787843934
Age,0.12107667033740727
Leptin,0.09337677388772042
BMI,0.0825757252452004
Adiponectin,0.06437120729540348
MCP1,0.05080795049773015
